"tfName","nOperons","nTargets","l2rm_mean","sd_l2r_mean","l2rm_max","sd_l2r_max","l2rm_sum","sd_l2r_sum","l2rm_prod","sd_l2r_prod","l2rm_geom","sd_l2r_geom","mse_mean","mse_max","mse_sum","mse_prod","mse_geom","dominantFunc","dominantFreq","dominantTie","bestGuessMSE","frequencyBestGuessMSE"
"Ada",3,4,0.165127507726137,0.216538380944188,0.377678571428571,0.26075349869748,2.16512750772614,0.216538380944188,0.104779761904762,0.321021599541835,0.150636904761905,0.215513916860193,0.0294403068145359,0.0988482214617258,9.66487703904921,0.0600485610069589,0.0278066346868991,"geom",0.43452380952381,FALSE,"geom",0.43452380952381
"AdiY",4,8,-0.113549225140741,0.17714157223184,0.266291666666667,0.220752804396009,2.88645077485926,0.17714157223184,-1.88328571428571,2.52197365004697,-0.229322172619048,0.333866685375293,0.0179855605924751,0.0834419667705182,41.5411805151806,0.441591314944388,0.04750175883237,"max",0.392857142857143,FALSE,"mean",0.339285714285714
"AgaR",3,11,0.252426880710963,0.460236114662921,0.723029761904762,0.575057512620694,3.71185849934826,0.460236114662921,0.302357142857143,0.900570592815069,0.217735930735931,0.457989540367754,0.109644355588867,0.699505295025185,110.08549251522,1.84281977341519,0.111003463542236,"geom",0.482142857142857,FALSE,"mean",0.166666666666667
"AlpA",1,2,-0.25513980490479,0.315578615375994,-0.0791428571428571,0.347260282814678,0.74486019509521,0.315578615375994,-0.473607142857143,0.578067066491292,-0.278178571428571,0.317091947628194,0.0716877516980463,0.0788088597128759,0.701050048264125,0.240480477584627,0.0739014521898562,"max",0.648809523809524,FALSE,"mean",0.0833333333333333
"ArsR",1,3,-0.0219867143172232,0.162363859211174,0.105297619047619,0.170246125441462,1.56297578640393,0.162363859211174,-0.0429821428571429,0.215584415943676,-0.0282003968253968,0.16151320427815,0.0126596730102803,0.016026234607915,3.93996218573386,0.0304372051318183,0.0129784454941494,"max",0.529761904761905,FALSE,"mean",0.0714285714285714
"AscG",4,5,-0.0351369443653292,0.189348304882636,0.147863095238095,0.206399819128966,2.28679115052203,0.189348304882636,-0.188285714285714,0.501082112181217,-0.0443952380952381,0.191593112964095,0.0182535102060507,0.0357883683204779,15.3460337251296,0.0879112131445355,0.0188849645212322,"max",0.375,FALSE,"mean",0.154761904761905
"AtoC",1,4,0.0213927815437485,0.141897004345632,0.227315476190476,0.172482686448011,2.02139278154375,0.141897004345632,-0.150267857142857,0.447023334910676,0.00629464285714285,0.142083363300626,0.00950902240513719,0.0440469224829382,8.7658335032419,0.0793195064795661,0.00926279139188458,"geom",0.511904761904762,FALSE,"geom",0.511904761904762
"BetI",2,4,-0.00421490610791083,0.149461698917031,0.121410714285714,0.172143037945945,1.99578509389209,0.149461698917031,0.0504047619047619,0.238487932334959,-0.00876041666666666,0.1460966001742,0.0102377810010492,0.0217722260562732,9.3086404242581,0.041895264930287,0.00986432253867842,"max",0.416666666666667,FALSE,"geom",0.30952380952381
"BirA",2,5,-0.334621370014037,0.591799543368674,-0.0631369047619048,0.590877343479227,1.98730672487332,0.591799543368674,-1.35891666666667,2.15063378881965,-0.354211904761905,0.595064997286139,0.271597798861701,0.214994042324778,11.6902135250704,0.569995569367241,0.278841556064581,"max",0.517857142857143,FALSE,"max",0.517857142857143
"CadC",2,3,-0.0224337882573081,0.09976861731503,0.0844047619047619,0.189396085236567,1.56252871246385,0.09976861731503,-0.0369404761904762,0.195542166681946,-0.0285912698412698,0.090309482694301,0.00468160555902364,0.0241471072185752,3.97454199612535,0.0223902517913771,0.00410882560808522,"max",0.595238095238095,FALSE,"geom",0.232142857142857
"CaiF",2,10,-0.0245549068056722,0.0943152657874379,0.260583333333333,0.178059346113937,3.29737318808169,0.0943152657874379,-0.102779761904762,0.728945990176196,-0.0351726190476191,0.0959080071350692,0.0046222937384337,0.0656827645006067,81.4190649616016,0.213519595915408,0.00505554004160087,"mean",0.398809523809524,FALSE,"mean",0.398809523809524
"CueR",3,7,0.0843677382107328,0.392783958764788,0.491761904761905,0.478895276115948,2.89172266026834,0.392783958764788,0.498827380952381,2.01967590035613,0.0299192176870748,0.370100049438161,0.141839906039443,0.68301075353954,53.3898755891387,11333.8755073739,0.0942302025729375,"geom",0.476190476190476,FALSE,"geom",0.476190476190476
"CynR",2,4,0.0238229024787141,0.2608661928178,0.282416666666667,0.297512107470967,2.02382290247871,0.2608661928178,-0.261071428571429,0.613540823558463,-0.00206249999999999,0.27140367104589,0.0298247528595331,0.0884359227819468,8.5278448034268,0.155875086676828,0.0317452149298818,"geom",0.380952380952381,FALSE,"mean",0.166666666666667
"DeoR",3,6,0.335702706774094,0.54450536618077,0.581642857142857,0.625022819087281,2.92066520749525,0.54450536618077,0.160291666666667,0.692134876217235,0.31128373015873,0.506552659315747,0.131574017281577,0.329266493025214,26.8093784460262,0.550596511791729,0.120858920276542,"prod",0.422619047619048,FALSE,"geom",0.327380952380952
"DgoR",1,5,0.0368380499841995,0.158496488862938,0.261517857142857,0.203157853531849,2.35876614487156,0.158496488862938,0.316660714285714,0.470555078392195,0.0260464285714286,0.156535726783452,0.0112568569863604,0.063896986809039,18.3663946557356,0.324997045574489,0.0109343828463212,"geom",0.428571428571429,FALSE,"geom",0.428571428571429
"DsdC",2,3,0.0188331595052371,0.462315840470462,0.211434523809524,0.652603892111115,1.60379566022639,0.462315840470462,-0.198154761904762,0.630064135012211,-0.0367936507936508,0.257104657295608,0.0207379645849564,0.0896144235360375,3.8658142122448,0.0775086472977525,0.017566463569597,"max",0.464285714285714,FALSE,"geom",0.327380952380952
